"address","addressCity","addressState","addressStreet","addressZipcode","area","availabilityDate","baths","beds","brokerName","countryCurrency","hasAdditionalAttributions","id","isFeaturedListing","isHomeRec","isSaved","isUndisclosedAddress","isUserClaimingOwner","latLong/latitude","latLong/longitude","list","openHouseDescription","openHouseStartDate","price","shouldShowZestimateAsPrice","statusText","statusType","unformattedPrice","variableData/text","variableData/type","zpid"
"5714 E Paradise Ln, Scottsdale, AZ 85254","Scottsdale","AZ","5714 E Paradise Ln","85254","2999",,"3","6","GNS Realty- AZ, LLC","$","true","8022329","false","false","false","false","false","33.63348","-111.95763","true","Open House - 2:00 - 6:00 PM","2024-05-30T14:00:00","$1,499,900","false","House for sale","FOR_SALE","1499900","Open: Thu. 2-6pm","OPEN_HOUSE","8022329"
"26280 N 88th Way, Scottsdale, AZ 85255","Scottsdale","AZ","26280 N 88th Way","85255","4495",,"5","5","Launch Powered By Compass","$","true","95109683","false","false","false","false","false","33.72373","-111.88939","true","Open House - 10:00 AM - 1:00 PM","2024-05-31T10:00:00","$2,499,000","false","House for sale","FOR_SALE","2499000","Showcase","SHOWCASE","95109683"
"8195 E Del Marino Dr, Scottsdale, AZ 85258","Scottsdale","AZ","8195 E Del Marino Dr","85258","2259",,"3","3","Berkshire Hathaway HomeServices Arizona Properties","$","true","7854415","false","false","false","false","false","33.56566","-111.9027","true","Open House - 0:00 - 3:00 PM","2024-05-30T12:00:00","$729,000","false","Townhouse for sale","FOR_SALE","729000","Open: Thu. 12-3pm","OPEN_HOUSE","7854415"
"25871 N 113th Way, Scottsdale, AZ 85255","Scottsdale","AZ","25871 N 113th Way","85255","4602",,"5","4","Russ Lyon Sotheby's International Realty","$","true","8062793","false","false","false","false","false","33.720917","-111.83632","true","Open House - 0:00 - 3:00 PM","2024-06-01T12:00:00","$2,395,000","false","House for sale","FOR_SALE","2395000","Open: Sat. 12-3pm","OPEN_HOUSE","8062793"
"6301 E Phoenician Blvd #30, Scottsdale, AZ 85251","Scottsdale","AZ","6301 E Phoenician Blvd #30","85251","2800",,"4","3","Coldwell Banker Realty","$","true","2055053561","false","false","false","false","false","33.50617","-111.94668","true","Open House - 1:00 - 4:00 PM","2024-06-08T13:00:00","$3,195,000","false","Townhouse for sale","FOR_SALE","3195000","Open: 6/8 1-4pm","OPEN_HOUSE","2055053561"
"4349 N 70th St, Scottsdale, AZ 85251","Scottsdale","AZ","4349 N 70th St","85251","2154",,"2","2","My Home Group Real Estate","$","true","7845657","false","false","false","false","false","33.50015","-111.930595","true","Open House - 11:00 AM - 1:00 PM","2024-06-01T11:00:00","$998,000","false","Townhouse for sale","FOR_SALE","998000","Open: Sat. 11am-1pm","OPEN_HOUSE","7845657"
"10019 N 87th Ln, Peoria, AZ 85345","Peoria","AZ","10019 N 87th Ln","85345","1718",,"2","4","eXp Realty","$","true","7684140","false","false","false","false","false","33.576572","-112.24796","true","Open House - 11:00 AM - 1:00 PM","2024-06-01T11:00:00","$426,000","false","House for sale","FOR_SALE","426000","Open: Sat. 11am-1pm","OPEN_HOUSE","7684140"
"1740 E Ocotillo Rd #3, Phoenix, AZ 85016","Phoenix","AZ","1740 E Ocotillo Rd #3","85016","2350",,"3","3","Urban Luxe Real Estate","$","true","318231423","false","false","false","false","false","33.534973","-112.04353","true","Open House - 0:00 - 4:00 PM","2024-05-30T12:00:00","$1,249,999","false","New construction","FOR_SALE","1249999","Open: Thu. 12-4pm","OPEN_HOUSE","318231423"
"7012 N Via Nueva, Scottsdale, AZ 85258","Scottsdale","AZ","7012 N Via Nueva","85258","2179",,"2","3","Russ Lyon Sotheby's International Realty","$","true","7878610","false","false","false","false","false","33.53896","-111.90826","true","Open House - 0:00 - 3:00 PM","2024-06-01T12:00:00","$799,000","false","House for sale","FOR_SALE","799000","Open: Sat. 12-3pm","OPEN_HOUSE","7878610"
"4556 E Paradise Ln, Phoenix, AZ 85032","Phoenix","AZ","4556 E Paradise Ln","85032","2514",,"2","4","GemHaus","$","true","8019750","false","false","false","false","false","33.63363","-111.98222","true","Open House - 3:00 - 6:00 PM","2024-05-30T15:00:00","$815,000","false","House for sale","FOR_SALE","815000","Open: Thu. 3-6pm","OPEN_HOUSE","8019750"
